n,noise_model,seed,p_noise,q_eve,qber,n_sifted,n_errors
30000,depolarizing,1,0.12,0.45,0.16102378073357518,14886,2397
30000,depolarizing,1,0.12,0.5,0.16753997044202606,14886,2494
30000,depolarizing,1,0.12,0.55,0.1730485019481392,14886,2576
30000,depolarizing,1,0.12,0.6000000000000001,0.195552868467016,14886,2911
30000,depolarizing,1,0.12,0.65,0.2054950960634153,14886,3059
30000,depolarizing,1,0.12,0.7000000000000001,0.2171839312105334,14886,3233
30000,depolarizing,1,0.12,0.75,0.2235657664920059,14886,3328
30000,depolarizing,1,0.12,0.8,0.23498589278516727,14886,3498
30000,depolarizing,1,0.12,0.8500000000000001,0.2451968292355233,14886,3650
30000,depolarizing,1,0.12,0.9,0.2621254870347978,14886,3902
30000,depolarizing,1,0.12,0.9500000000000001,0.27482198038425365,14886,4091
30000,depolarizing,1,0.12,1.0,0.2777106005642886,14886,4134
30000,depolarizing,1,0.13,0.0,0.0631465806798334,14886,940
30000,depolarizing,1,0.13,0.05,0.0765820233776703,14886,1140
30000,depolarizing,1,0.13,0.1,0.08961440279457208,14886,1334
30000,depolarizing,1,0.13,0.15000000000000002,0.09740695955931748,14886,1450
30000,depolarizing,1,0.13,0.2,0.11057369340319763,14886,1646
30000,depolarizing,1,0.13,0.25,0.11789600967351874,14886,1755
30000,depolarizing,1,0.13,0.30000000000000004,0.13160016122531237,14886,1959
30000,depolarizing,1,0.13,0.35000000000000003,0.14476689506919252,14886,2155
30000,depolarizing,1,0.13,0.4,0.15497783151954858,14886,2307
30000,depolarizing,1,0.13,0.45,0.16492005911594787,14886,2455
30000,depolarizing,1,0.13,0.5,0.1712347171839312,14886,2549
30000,depolarizing,1,0.13,0.55,0.17660889426306597,14886,2629
30000,depolarizing,1,0.13,0.6000000000000001,0.19803842536611582,14886,2948
30000,depolarizing,1,0.13,0.65,0.20784629853553674,14886,3094
30000,depolarizing,1,0.13,0.7000000000000001,0.21993819696358996,14886,3274
30000,depolarizing,1,0.13,0.75,0.22632003224506247,14886,3369
30000,depolarizing,1,0.13,0.8,0.237807335751713,14886,3540
30000,depolarizing,1,0.13,0.8500000000000001,0.2478839177750907,14886,3690
30000,depolarizing,1,0.13,0.9,0.2650141072148327,14886,3945
30000,depolarizing,1,0.13,0.9500000000000001,0.27703882842939676,14886,4124
30000,depolarizing,1,0.13,1.0,0.27952438532849655,14886,4161
30000,depolarizing,1,0.14,0.0,0.06643826414080344,14886,989
30000,depolarizing,1,0.14,0.05,0.0817546688163375,14886,1217
30000,depolarizing,1,0.14,0.1,0.0951229343006852,14886,1416
30000,depolarizing,1,0.14,0.15000000000000002,0.10231089614402794,14886,1523
30000,depolarizing,1,0.14,0.2,0.115074566706973,14886,1713
30000,depolarizing,1,0.14,0.25,0.12145640198844553,14886,1808
30000,depolarizing,1,0.14,0.30000000000000004,0.13663845223700122,14886,2034
30000,depolarizing,1,0.14,0.35000000000000003,0.14899905951901116,14886,2218
30000,depolarizing,1,0.14,0.4,0.15914281875587802,14886,2369
30000,depolarizing,1,0.14,0.45,0.16794303372296118,14886,2500
30000,depolarizing,1,0.14,0.5,0.17445922343141207,14886,2597
30000,depolarizing,1,0.14,0.55,0.1803708182184603,14886,2685
30000,depolarizing,1,0.14,0.6000000000000001,0.20126293161359668,14886,2996
30000,depolarizing,1,0.14,0.65,0.2106677415020825,14886,3136
30000,depolarizing,1,0.14,0.7000000000000001,0.2218863361547763,14886,3303
30000,depolarizing,1,0.14,0.75,0.22900712078462984,14886,3409
30000,depolarizing,1,0.14,0.8,0.2408974875722155,14886,3586
30000,depolarizing,1,0.14,0.8500000000000001,0.2500335886067446,14886,3722
30000,depolarizing,1,0.14,0.9,0.26749966411393256,14886,3982
30000,depolarizing,1,0.14,0.9500000000000001,0.2793900309015182,14886,4159
30000,depolarizing,1,0.14,1.0,0.28221147386806394,14886,4201
30000,depolarizing,1,0.15,0.0,0.07248421335483005,14886,1079
30000,depolarizing,1,0.15,0.05,0.08645707376058041,14886,1287
30000,depolarizing,1,0.15,0.1,0.10049711137981997,14886,1496
30000,depolarizing,1,0.15,0.15000000000000002,0.1072820099422276,14886,1597
30000,depolarizing,1,0.15,0.2,0.12004568050517264,14886,1787
30000,depolarizing,1,0.15,0.25,0.12615880693268844,14886,1878
30000,depolarizing,1,0.15,0.30000000000000004,0.14046755340588474,14886,2091
30000,depolarizing,1,0.15,0.35000000000000003,0.1531640467553406,14886,2280
30000,depolarizing,1,0.15,0.4,0.1639124009136101,14886,2440
30000,depolarizing,1,0.15,0.45,0.17143624882439876,14886,2552
30000,depolarizing,1,0.15,0.5,0.1786242106677415,14886,2659
30000,depolarizing,1,0.15,0.55,0.1841999193873438,14886,2742
30000,depolarizing,1,0.15,0.6000000000000001,0.20515920999596937,14886,3054
