n,seed,p_noise,q_eve,qber,n_sifted,n_errors
50000,1,0.18,0.30000000000000004,0.1492156001756417,25051,3738
50000,1,0.18,0.35000000000000003,0.1593549159714183,25051,3992
50000,1,0.18,0.4,0.17244820566045269,25051,4320
50000,1,0.18,0.45,0.17979322182747196,25051,4504
50000,1,0.18,0.5,0.19113009460700173,25051,4788
50000,1,0.18,0.55,0.20286615304778252,25051,5082
50000,1,0.18,0.6000000000000001,0.21468204862081355,25051,5378
50000,1,0.18,0.65,0.22458185301983952,25051,5626
50000,1,0.18,0.7000000000000001,0.22881322102910062,25051,5732
50000,1,0.18,0.75,0.2450999960081434,25051,6140
50000,1,0.18,0.8,0.260189214003433,25051,6518
50000,1,0.18,0.8500000000000001,0.2623448165741887,25051,6572
50000,1,0.18,0.9,0.27224462097321467,25051,6820
50000,1,0.18,0.9500000000000001,0.2820246696738653,25051,7065
50000,1,0.18,1.0,0.2894495229731348,25051,7251
50000,1,0.19,0.0,0.09568480300187618,25051,2397
50000,1,0.19,0.05,0.10294998203664524,25051,2579
50000,1,0.19,0.1,0.1125703564727955,25051,2820
50000,1,0.19,0.15000000000000002,0.12187138237994491,25051,3053
50000,1,0.19,0.2,0.13484491637060397,25051,3378
50000,1,0.19,0.25,0.14566284779050737,25051,3649
50000,1,0.19,0.30000000000000004,0.15364656101552832,25051,3849
50000,1,0.19,0.35000000000000003,0.16318709831942838,25051,4088
50000,1,0.19,0.4,0.17671949223583888,25051,4427
50000,1,0.19,0.45,0.18374515987385734,25051,4603
50000,1,0.19,0.5,0.19492235838888666,25051,4883
50000,1,0.19,0.55,0.20653866113129216,25051,5174
50000,1,0.19,0.6000000000000001,0.21819488243982277,25051,5466
50000,1,0.19,0.65,0.22797493114047343,25051,5711
50000,1,0.19,0.7000000000000001,0.23200670631910902,25051,5812
50000,1,0.19,0.75,0.24805396990140113,25051,6214
50000,1,0.19,0.8,0.26294359506606524,25051,6587
50000,1,0.19,0.8500000000000001,0.265139116202946,25051,6642
50000,1,0.19,0.9,0.27455989780847073,25051,6878
50000,1,0.19,0.9500000000000001,0.2840205979801206,25051,7115
50000,1,0.19,1.0,0.29236357830026743,25051,7324
50000,1,0.2,0.0,0.10075446089976448,25051,2524
50000,1,0.2,0.05,0.10825915133128418,25051,2712
50000,1,0.2,0.1,0.11708115444493233,25051,2933
50000,1,0.2,0.15000000000000002,0.1275797373358349,25051,3196
50000,1,0.2,0.2,0.13991457426849227,25051,3505
50000,1,0.2,0.25,0.1502534828948944,25051,3764
50000,1,0.2,0.30000000000000004,0.15827711468604047,25051,3965
50000,1,0.2,0.35000000000000003,0.16705919923356352,25051,4185
50000,1,0.2,0.4,0.180192407488723,25051,4514
50000,1,0.2,0.45,0.18665921520099,25051,4676
50000,1,0.2,0.5,0.19895413356752226,25051,4984
50000,1,0.2,0.55,0.2101712506486767,25051,5265
50000,1,0.2,0.6000000000000001,0.22154804199433156,25051,5550
50000,1,0.2,0.65,0.23144784639335755,25051,5798
50000,1,0.2,0.7000000000000001,0.23555945870424336,25051,5901
50000,1,0.2,0.75,0.25140712945590993,25051,6298
50000,1,0.2,0.8,0.2650991976368209,25051,6641
50000,1,0.2,0.8500000000000001,0.26813300866232886,25051,6717
50000,1,0.2,0.9,0.2777933016646042,25051,6959
50000,1,0.2,0.9500000000000001,0.2868148976088779,25051,7185
50000,1,0.2,1.0,0.29475869226777374,25051,7384
